Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,close_norm
2023-01-01,-1.139862763182521,-1.151958793712127,-1.1349042312935558,-1.1479789741175352,-0.419537962407506,BNB,193985583.2792,246426,0.1884493620596432,26.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,,,0.0354682038945123
2023-01-02,-1.1476405575240511,-1.146424363089575,-1.1478660951607185,-1.1448504351257545,0.3404368314494885,BNB,362014330.10557,407787,0.0898630022842965,27.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.290554918972008,0.0029013362403214,0.0361127502156052
2023-01-03,-1.144502924579457,-1.150628814260196,-1.1314022540382171,-1.1408846814742013,-0.2810408585123255,BNB,225254035.322,287346,-0.0312843496447043,26.0,-2.771760080593854,-2.526006884454911,-2.96674379528358,1d,0.3672420124862352,0.0036656932543084,0.0369297807634696
2023-01-04,-1.140481451368779,-1.0905652261084682,-1.1248076215443976,-1.085496322140841,1.5930463199726952,BNB,664724650.61011,747686,0.2044338706705317,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,5.110379314550562,0.0498408435796056,0.0483409740819754
2023-01-05,-1.0848878986321635,-1.0991457387015722,-1.08146496798157,-1.0947497473277985,-0.1704871416377837,BNB,261280295.1172,344953,-1.604342677054393,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.8122534230680101,-0.0081557017367452,0.0464345694702918
2023-01-06,-1.0942566054526426,-1.0922813286270887,-1.0862403915115773,-1.080428970252745,0.525279854533553,BNB,422647779.1308,519824,-0.8841720590969612,26.0,-2.429611918412454,-2.4691676363993618,-2.5524210317998595,1d,1.267352987053494,0.0125938928398471,0.0493849575598021
2023-01-07,-1.079850009115491,-1.0772654315891568,-1.0623177936374455,-1.0741718922691832,-0.498105985838742,BNB,188645181.5799,295305,-0.8069288241526864,25.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.5468058069236559,0.0054531625148787,0.0506740502019881
2023-01-08,-1.0736189352396062,-1.021492099733981,-1.0594980197435366,-1.0142890121307293,0.4516221232342755,BNB,419479859.02601,512241,-0.606620096245952,25.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,5.204702998736166,0.0507378186274457,0.0630112114747401
2023-01-09,-1.0135177971459677,-0.9933909209915652,-1.0074686433785054,-1.024247460189074,1.3670664380682869,BNB,666242323.2157,791760,0.1205532588172024,25.0,-2.8056241365329084,-2.309576162028254,-2.9590933198790443,1d,-0.8227156898434673,-0.0082611867281105,0.0609595569878807
2023-01-10,-1.0235051921527043,-1.01441317684467,-1.0129262702699422,-1.0040661804956144,0.2930397710513456,BNB,394249669.61854,493344,0.1748396947280867,26.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.6811040963147894,0.0166712993738349,0.0651173346647905
2023-01-11,-1.0033094420727098,-0.9768734342498402,-0.995461864217344,-0.9700488269511796,0.3741639153106783,BNB,419577627.44904,525734,-0.5989779787954893,26.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.78680239693887,0.0274867774386473,0.0721256411420271
2023-01-12,-0.9691490157886048,-0.9714248087532188,-0.9836370059525644,-0.9577990545608264,1.2405610788959307,BNB,650217253.89386,813835,0.1926662276646109,30.0,-2.819053144322925,-1.9043276088473449,-2.8140274216585763,1d,0.9763292828545156,0.0097159398496489,0.0746493577232082
2023-01-13,-0.9568636360900522,-0.9389046660253548,-0.9467070639871747,-0.9306997379418792,0.6837257080215803,BNB,515825584.99797,620094,-0.6122527326134461,31.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.138981636060122,0.0211642649061999,0.0802323998002814
2023-01-14,-0.9296855479080022,-0.8571752835760392,-0.9079579130579732,-0.8796737076252273,2.3786008379522103,BNB,1011255618.20288,1211788,0.9225797842036132,46.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,3.943201552763309,0.0386744250493654,0.0907448595161363
2023-01-15,-0.8784670044884969,-0.8960450056228003,-0.9131881388289336,-0.8931132061110467,0.3561550005577337,BNB,446253710.98226,606658,0.3452345565201584,52.0,-2.626225397470756,-2.8086321196195665,-2.313622019569828,1d,-0.999180999181004,-0.0100420631521749,0.0879760337705959
2023-01-16,-0.8919897605595656,-0.887679005844524,-0.9086401164194028,-0.9071255356798682,0.6011930467818798,BNB,513925445.33329,684248,0.2044338706705317,45.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-1.0522832561217776,-0.0105785890528574,0.0850891925014751
2023-01-17,-0.9060870128035884,-0.8970746671339729,-0.904092094009872,-0.905979873513864,0.2017102490685346,BNB,406983516.96618,595067,0.2044338706705317,51.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.0869507056384222,0.0008691292541089,0.085325223548636
2023-01-18,-0.9048938284443764,-0.8993056004081799,-0.9627615830928182,-0.9625579589426904,1.9651795172355564,BNB,863359895.79327,1207704,0.2044338706705317,52.0,-2.773939557314129,-2.129858838370545,-2.616209718450066,1d,-4.290296712109054,-0.0438504999011515,0.0736689210657709
2023-01-19,-0.9616363735269,-0.9425513838774242,-0.9412949173198334,-0.9274830710911748,0.0204295225676727,BNB,345037943.16703,489901,-0.2648256321205527,45.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.7789414886189023,0.027410296715982,0.0808951023557714
2023-01-20,-0.9265037229501036,-0.8985333542748004,-0.9373381378235416,-0.879717771554689,1.0485938743558805,BNB,621709129.85053,778552,0.192331314150859,51.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,3.682065217391317,0.0361589655667113,0.0907357813989378
2023-01-21,-0.8785553885151051,-0.8775540009846613,-0.8851723207862242,-0.9066848963852512,1.1093134165699268,BNB,658636287.61932,879464,0.6498079505944886,53.0,-2.803552325361289,-2.302315570829923,-2.4821169791836923,1d,-2.0049796881142723,-0.0202535217525741,0.0851799736734601
2023-01-22,-0.9055567086439384,-0.8713331293546609,-0.8838533942874605,-0.8887508770943381,0.6884908332852173,BNB,543671642.93729,712209,0.6029809520353522,53.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.3606579299277888,0.0135148410251126,0.0888747673732468
2023-01-23,-0.887614751242455,-0.8874644930296963,-0.8739841856587787,-0.8791890044011486,0.2246943504173391,BNB,418623200.20999,628940,0.5207292377261802,50.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.7157228140769911,0.0071317367430034,0.0908447188053198
2023-01-24,-0.8780692763687594,-0.8195068332923129,-0.8808971797212654,-0.9013972248498467,2.053982839723163,BNB,945341133.77586,1253968,1.0416263150010496,52.0,-2.936809781573512,-2.2299927228309557,-2.6425526096790306,1d,-1.6505108724128914,-0.0166428355987756,0.0862693477372792
2023-01-25,-0.9003420510740492,-0.8625381039467293,-0.9095497209013088,-0.8726675428408167,1.0858906322058912,BNB,648194704.42884,906953,0.2044338706705317,51.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.1710175812466703,0.0214778662528968,0.0921882801506967
2023-01-26,-0.8714846663864418,-0.8821016726590064,-0.8708915304202978,-0.8821853516045444,0.2892443128432154,BNB,437462270.898,572441,0.2044338706705317,54.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.7039499413374894,-0.007064393586508,0.0902274068358222
